time,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,is_fraud
953277,PAYMENT,39.36,1628.55,1570.831745450374,910.07,965.1216268864815,1
1954354,PAYMENT,10.34,994.08,1041.0721263762198,191.92,200.10840856313658,1
2416182,TRANSFER,52.59,1193.6,1005.221812945873,5362.82,5386.283637699084,1
2370690,TRANSFER,15.94,5467.82,5441.193387573922,2613.33,2544.034539702253,1
2428388,PAYMENT,41.85,211.93,207.24402483998134,1420.68,1506.8385057476605,1
528178,PAYMENT,11.93,702.79,726.1981564948992,1242.0,1252.1575226613236,1
2586644,PAYMENT,44.54,8255.37,8169.883363716766,1808.67,1944.7963997592897,1
1305416,PAYMENT,6.21,2676.81,2757.535890848103,2114.01,2181.0560223850193,1
2570406,CASH_OUT,20.98,318.51,228.34236143972885,1813.84,1894.9410158731232,1
2446609,CASH_OUT,65.15,3930.5,3847.851643294772,6366.43,6468.250037243659,1
1465689,CASH_OUT,35.19,2768.32,2717.6385758156785,401.99,474.8919792505655,1
68148,TRANSFER,25.29,289.44,248.1574917318682,1935.97,1969.0815433902235,1
1825665,TRANSFER,174.91,1853.14,1746.2150211588935,1594.98,1811.1157842477187,1
256508,PAYMENT,68.6,1125.68,1057.878151151601,3848.2,3894.4043002195417,1
803591,PAYMENT,56.07,4970.25,4930.168773752903,233.06,167.0327753456479,1
896942,PAYMENT,44.24,4044.03,4043.7558645744384,582.96,662.5862910456002,1
2203682,PURCHASE,51.38,4428.83,4345.470913294037,2279.13,2367.0169804474167,1
604365,PAYMENT,146.72,7708.73,7554.2735018897665,3967.54,4048.180553028461,1
1870928,PAYMENT,12.17,1135.05,1206.683396323495,2307.24,2345.096125799502,1
2557489,DEBIT,67.44,7167.09,7118.562146538905,2848.89,2941.242028281913,1
1773415,PURCHASE,30.81,4148.15,4062.5911499800786,5702.74,5787.5024918055,1
2055555,CASH_OUT,12.68,2744.69,2689.1920674455837,6314.34,6321.735541666478,1
805889,PAYMENT,17.82,1717.51,1744.2866434013793,735.08,676.7988704488298,1
1508349,PAYMENT,26.13,10276.33,10193.726292383302,635.31,637.2409016180137,1
2305413,PAYMENT,7.16,1185.05,1154.2404954735352,1314.7,1297.480475484268,1
1363715,PAYMENT,56.65,13.99,0.0,3751.85,3802.6366921199606,1
1220405,PAYMENT,17.75,256.07,239.00107533013522,1169.76,1193.6158442118315,1
271836,PAYMENT,22.24,2003.18,2055.1008796551464,815.65,826.0245975978722,1
2095505,PURCHASE,102.38,1997.94,1773.0291297152949,4181.76,4303.943273555368,1
2299435,PAYMENT,23.47,5012.07,5012.697358626589,1609.19,1577.7513989292252,1
196769,CASH_OUT,129.44,4274.75,4131.180856048161,1117.28,1264.7120414800252,1
1271741,CASH_OUT,10.7,4278.47,4333.6204104202225,690.33,663.0827523347689,1
1046797,PAYMENT,5.38,1315.29,1298.1286439234968,4067.58,4062.8881460459856,1
1584398,CASH_OUT,14.18,4029.57,4005.0575368953323,2117.7,2040.4370382178945,1
2585031,PAYMENT,0.69,4343.89,4342.9961706857575,1470.69,1518.5651540611423,1
564685,PAYMENT,59.56,1762.02,1669.402967377193,3154.94,3199.193921990835,1
1402107,CASH_OUT,5.77,2837.6,2802.2843663995527,3886.25,3908.9600244924395,1
1311736,PAYMENT,9.57,4340.09,4323.072215031116,1335.62,1304.1314827347849,1
1007293,PURCHASE,47.44,2633.5,2668.308621572271,2629.8,2649.250860507277,1
579879,PAYMENT,23.17,2919.73,2871.992507464454,446.34,421.2073229563576,1
23247,TRANSFER,11.84,6221.29,6175.075131229797,1182.75,1202.5302157894005,1
1072876,PAYMENT,1.74,2657.04,2635.292594680454,3820.38,3850.8829452461614,1
1322905,PAYMENT,95.68,176.8,81.28980179462354,1754.14,1799.761115580618,1
1767640,PAYMENT,47.83,2037.04,2078.8322287131996,1602.6,1657.4260373902434,1
2529467,TRANSFER,236.72,2339.45,2064.540736311723,6376.27,6600.745523432209,1
1285160,DEBIT,9.82,1005.6,1120.7346474653943,6337.59,6357.116061214718,1
1610908,DEBIT,3.51,4424.94,4444.044967623384,882.61,841.1975634801936,1
1886222,PAYMENT,66.27,6733.09,6616.803693221744,1767.87,1857.391035028643,1
978732,CASH_OUT,16.03,1089.12,1045.7272445830638,5034.53,5036.617683847466,1
1425472,CASH_OUT,42.68,657.54,518.0375122404903,1861.52,1897.2789491221195,1
48984,CASH_OUT,140.32,1927.52,1792.5340952589145,2688.0,2945.346442428807,1
2400070,PAYMENT,32.0,399.8,420.376763284453,830.27,774.172189094108,1
2361864,TRANSFER,24.55,1333.92,1310.9244490148833,1690.0,1741.5624990179876,1
1504384,DEBIT,26.47,391.48,405.1503699283773,4565.73,4613.962256696197,1
2033643,PAYMENT,2.82,1023.33,1041.9343640595116,467.11,501.45702966683507,1
2230919,DEBIT,75.92,4477.66,4462.246724425322,20.4,125.6051271276977,1
1752126,TRANSFER,81.98,2225.85,2094.8831066441676,3395.13,3486.7735069123605,1
136330,PAYMENT,37.97,7491.11,7497.284110770439,5972.05,6030.439260126832,1
2577906,PAYMENT,3.26,3077.02,3168.098797119421,7685.43,7822.979080045533,1
1737095,PAYMENT,17.37,5865.6,5976.494955783208,2127.03,2135.7840960549397,1
2111138,TRANSFER,112.87,186.39,144.53630879541515,450.97,554.7058236413873,1
586146,DEBIT,10.19,223.62,222.00357050328944,1078.86,1035.6994508715427,1
2109818,PAYMENT,83.19,8662.61,8531.156339058909,3616.38,3658.322170109691,1
2231785,DEBIT,21.46,173.25,110.95885105730241,1652.17,1684.8095846365609,1
288998,DEBIT,47.23,847.45,791.5612503855773,3694.47,3760.1490189623282,1
1843400,PAYMENT,12.25,1513.74,1594.486119376016,512.21,518.8252827795745,1
1079111,DEBIT,22.23,7747.25,7698.501514627296,3248.82,3303.6721946909706,1
996107,PURCHASE,33.92,1175.91,1150.9698615413186,1052.65,1066.5273914927604,1
351279,CASH_OUT,5.47,3210.18,3251.7481888506436,1855.58,1985.313008950322,1
1870230,CASH_OUT,27.9,2454.19,2262.006689795834,59.4,94.9342702402002,1
489570,PURCHASE,0.8,170.23,116.25937395241417,4900.11,4934.604297312957,1
2050731,TRANSFER,9.76,1111.09,1198.9885601206747,1656.79,1674.626561038326,1
1321685,PAYMENT,38.58,4537.05,4550.615122422285,1215.67,1224.1365389965235,1
2121690,DEBIT,77.04,1677.57,1653.0122270099523,5952.21,6003.8918592878035,1
2298816,TRANSFER,35.42,4022.5,3940.105277786295,4689.95,4668.032656735211,1
491234,TRANSFER,3.79,6302.11,6370.895079298505,608.04,525.7109550018642,1
1948260,PAYMENT,69.37,2877.13,2766.91292453503,480.91,597.770170038169,1
139182,CASH_OUT,5.12,6000.2,5999.657392847091,2785.19,2759.847777236724,1
1521101,PAYMENT,41.97,2114.24,2107.0046216844207,3124.83,3163.588127269428,1
1206914,PURCHASE,5.33,3490.13,3526.4443287550457,4474.76,4556.727888900949,1
184064,PAYMENT,7.94,2727.93,2744.667398434257,2023.15,2089.5366779531496,1
214020,PAYMENT,6.37,240.96,224.54352693941405,4789.48,4803.346914980949,1
1972990,PAYMENT,23.73,4636.29,4520.1807917750175,753.58,766.7763020534901,1
897421,PAYMENT,15.88,1068.67,1056.907640253457,4836.68,4844.889785465589,1
1694490,CASH_OUT,36.99,2441.58,2296.1652152169636,2538.56,2685.6749846188686,1
1167752,PURCHASE,19.64,2242.95,2251.68896650924,1284.89,1313.1495382722408,1
2316121,DEBIT,3.25,2338.65,2286.4669910362454,5802.54,5955.385344136422,1
122409,PAYMENT,27.97,372.06,336.1135576746877,5940.09,5903.028687042753,1
2016716,PAYMENT,2.42,2093.94,2065.9433672475757,1750.84,1755.6075465171036,1
2350770,DEBIT,6.95,1342.43,1363.7806153461615,676.78,742.0183810654046,1
769598,PURCHASE,12.98,6350.13,6297.644813962475,1459.87,1526.8549529291085,1
1098591,PAYMENT,11.94,173.52,174.3905855063841,2536.82,2580.3397329953114,1
874371,PAYMENT,2.78,156.96,163.4074352066128,2762.03,2734.29436108988,1
1459933,PAYMENT,104.1,2472.94,2372.1285026814785,763.17,801.6184408289024,1
1154454,DEBIT,145.13,1531.31,1405.8137817911852,3338.68,3474.869428604285,1
973548,TRANSFER,299.15,5010.46,4651.185654756688,140.74,492.05280672207704,1
1213475,PAYMENT,79.61,1245.21,1107.30555698619,2387.51,2552.121134977534,1
2021900,PAYMENT,12.5,1132.11,1191.2837859632866,3414.53,3432.572311395443,1
999238,DEBIT,12.24,9616.73,9527.496370364255,2422.23,2429.5640884279624,1
1928434,PAYMENT,11.46,1427.69,1524.5473907469807,1221.88,1243.778814565215,1
379989,PAYMENT,217.62,6417.11,6192.601859857287,873.08,1101.7066252061386,1
2512667,TRANSFER,17.49,2363.74,2303.7260307588504,6415.26,6492.081360688353,1
43585,PAYMENT,92.12,2786.95,2737.88742712324,4365.98,4439.681858353328,1
1419945,PAYMENT,83.91,428.08,316.0583307464334,2013.3,2091.295994848077,1
2161196,DEBIT,25.22,4396.25,4387.939841040654,154.88,203.2004226006619,0
2539448,DEBIT,3.52,902.23,960.8640749261189,4724.99,4696.898414715799,1
109556,DEBIT,17.94,1443.36,1461.0827603053194,1776.25,1748.2212610027848,1
1575557,DEBIT,23.96,6366.98,6364.344672284111,120.82,214.95886543296783,1
2061083,TRANSFER,93.08,842.45,782.1015717537883,23.54,115.4209872697737,1
200235,DEBIT,20.56,3578.15,3559.593698862413,3154.65,3219.7427197042634,1
2123091,PAYMENT,4.71,1193.88,1229.724732384426,3880.8,3920.0238898017406,1
2009021,CASH_OUT,65.73,4424.21,4304.841083695243,3089.0,3085.9621004902674,1
1201482,PURCHASE,15.29,3945.09,4002.755802245382,3143.89,3126.5550982403633,1
542335,PAYMENT,0.95,77.36,68.59967224147127,739.32,743.4597168020312,1
75766,PAYMENT,29.67,932.44,911.6290914717082,139.55,157.1907718773518,1
2506075,PAYMENT,36.63,2098.53,2046.2224479679032,1871.45,1920.319742162494,0
2484413,PAYMENT,7.3,1931.71,1954.715541897398,1294.94,1311.51990242508,1
1701240,PAYMENT,15.95,2452.99,2489.746179924124,1001.98,1057.2104190687764,1
984346,DEBIT,44.22,4126.88,4033.0565233318166,1419.38,1461.4173854449555,1
1503165,PURCHASE,29.91,1552.9,1519.5258680290717,3224.92,3258.3024281493977,1
2235000,PAYMENT,3.08,1464.0,1469.4127712708837,524.04,455.25020700117443,1
127948,PAYMENT,90.4,1164.52,1095.9361698456623,5468.13,5528.473711671463,1
1627880,PAYMENT,155.65,2458.11,2287.882044019353,1629.54,1757.6093529644218,1
402690,DEBIT,10.89,1599.01,1566.5220806283667,560.38,549.0678902073698,1
499046,PAYMENT,2.03,4817.26,4859.535109176537,68.04,51.517283466661155,1
2548421,PAYMENT,50.67,2932.53,2907.291895383444,3556.23,3636.898502173355,1
21959,PAYMENT,8.96,2324.01,2325.823236389102,2030.95,2128.513670601145,1
1798792,PAYMENT,38.19,1874.8,1899.0802643658744,715.14,685.8389997047002,1
1954109,PAYMENT,282.2,825.47,476.3836177586703,3180.68,3452.8672062934875,1
1838756,DEBIT,3.14,1998.04,2034.8226343067274,1466.86,1426.6975116757546,1
228576,TRANSFER,7.72,60.42,71.38138098122258,2883.21,2824.0101826134764,1
2262990,CASH_OUT,15.9,3039.65,2951.0039949213347,3683.69,3673.19807169855,1
1384250,PAYMENT,94.63,1373.42,1337.1063590870308,1147.71,1189.7113063164747,0
61087,CASH_OUT,1431.88,6992.94,5590.553164219652,3201.41,4644.919889613816,1
1013343,CASH_OUT,27.02,1785.85,1794.9970905196951,2859.51,2878.399172489457,1
2082263,PAYMENT,2.83,7301.55,7283.537211138511,4478.97,4466.87690538068,1
2215603,TRANSFER,13.27,2802.99,2827.8494663255547,286.64,315.3024901241005,1
1496176,PAYMENT,7.93,70.26,25.783031896484935,2511.82,2448.1612611433657,1
1886013,DEBIT,47.75,2483.18,2368.1591047776406,1804.21,1801.3184785264712,1
439792,PAYMENT,31.57,1706.91,1674.6872335256407,1811.17,1860.4942322948168,1
39353,PURCHASE,5.75,7726.88,7754.880459710431,1452.46,1407.0342930624265,1
2290227,PAYMENT,7.39,840.47,883.8262802493805,3604.79,3510.0929615315576,1
65318,CASH_OUT,13.04,123.84,118.33453876315251,3331.41,3424.5686884511297,1
765313,CASH_OUT,15.07,7671.48,7660.0866860524475,1493.7,1525.8780929983893,1
1531266,CASH_OUT,19.09,4521.03,4552.656023302201,351.5,421.39469784559793,1
416880,PAYMENT,21.3,6168.53,6130.533177897393,64.08,49.11324716429598,1
770746,PAYMENT,88.4,1483.47,1366.9637765200343,1588.57,1607.8434020436432,1
813168,CASH_OUT,12.49,2140.73,2209.151940664682,2054.56,2081.437120744832,1
225281,PAYMENT,10.46,209.82,185.47193050899043,1271.35,1226.725649849724,1
1400804,PAYMENT,4.03,140.42,182.2206994077588,1729.49,1784.4833960721407,1
1480415,TRANSFER,15.35,3194.72,3247.351518777819,738.35,765.6262752220364,1
269536,TRANSFER,27.31,894.64,877.8303005977026,182.3,219.3652130342193,1
2414976,PAYMENT,2.54,8662.46,8673.112598918318,1537.7,1550.5416761789993,1
1306002,PAYMENT,13.32,4527.58,4604.150198172921,7840.4,7955.407970581057,1
177789,PAYMENT,80.83,7649.78,7503.551386394053,2575.38,2688.954824644113,1
1561729,CASH_OUT,43.73,4686.04,4576.063420307061,4655.6,4689.201121048666,1
837291,CASH_OUT,31.44,7686.26,7695.596936655965,210.21,248.48523711108302,1
2222809,DEBIT,42.33,5154.84,5092.0722211908715,1554.72,1553.554894939812,1
1283743,PURCHASE,10.09,1782.73,1815.7147597153405,4571.69,4555.570414312686,1
681669,PAYMENT,8.6,3257.94,3246.5186286030957,2451.11,2522.2813302282507,1
1119043,PAYMENT,92.42,2729.15,2678.3686024923268,916.46,1011.0050132735205,1
2206903,PAYMENT,54.29,1945.41,1847.0469478691646,3051.64,3144.0666403887317,1
1429626,PAYMENT,8.2,4384.76,4407.216102380322,1318.54,1282.2636745645154,1
1741093,PURCHASE,2.11,1734.61,1707.4517320791595,80.27,124.70389704853235,1
2558231,TRANSFER,8.41,5675.3,5702.901536353764,220.69,219.21127838068492,1
2465604,PAYMENT,38.56,798.08,877.7498243402734,2288.49,2338.415934903284,1
2018163,PAYMENT,9.12,5744.49,5695.145363697798,2426.22,2438.36396931875,1
106081,TRANSFER,29.85,1907.78,1860.2256032707523,1811.57,1850.5264515320152,1
1661909,CASH_OUT,110.36,9067.58,8950.832874293746,3314.63,3419.5270914237317,1
110078,PAYMENT,17.96,4615.72,4613.897552686363,594.67,676.8420379186092,1
1915631,PURCHASE,26.6,1089.01,947.8424816856974,2399.95,2351.294349947525,1
2119823,TRANSFER,45.69,1897.78,1853.7519559210614,219.91,292.27330435917463,1
1466976,PAYMENT,5.48,1027.35,1010.9458515441291,1190.59,1162.650297268397,1
1404104,DEBIT,7.94,3078.08,3059.567890617929,1191.33,1151.4575730424065,1
2008187,PAYMENT,48.01,1087.41,1054.126723643676,1576.58,1731.5015333058416,1
1659066,PURCHASE,21.0,4172.5,4169.203617262014,1930.12,1903.5717083463749,1
2148815,PURCHASE,23.25,2014.0,2007.6791455252703,4506.47,4438.857092007934,1
311955,CASH_OUT,20.9,1010.98,936.2277615359578,1087.69,1156.3834897284955,1
2209699,CASH_OUT,64.97,1478.56,1401.070358121077,1779.31,1819.6137620131171,1
910681,PAYMENT,33.88,1292.02,1243.5214504616617,122.62,220.230226079618,1
1607618,PURCHASE,34.42,3818.15,3810.0946693689766,307.07,228.92233775687453,1
142483,TRANSFER,87.06,5373.52,5238.155561597939,3260.47,3440.2154433484106,1
2033350,CASH_OUT,138.09,4997.64,4869.218439331785,913.76,1099.0217000923171,1
2311987,PURCHASE,296.58,7585.62,7369.4828994481495,3566.51,3852.6894124025544,1
401896,PURCHASE,10.03,6212.26,6069.186846021339,1383.03,1306.4283218268547,1
2182048,DEBIT,388.89,2040.03,1642.6445208284335,1359.58,1681.8938703197155,1
477095,PAYMENT,5.39,4480.53,4375.898388676008,232.25,203.07430778723645,1
71295,PURCHASE,204.85,619.44,414.60369139339207,7545.97,7786.500636972201,1
743974,TRANSFER,9.39,1705.7,1738.0831796208822,1248.85,1215.141393809331,1
887121,PURCHASE,18.49,3806.16,3762.124322966447,2538.32,2454.3014921733575,1
1056731,CASH_OUT,20.54,3439.99,3465.753003376328,1345.77,1377.703948865131,1
825816,PAYMENT,7.1,281.01,341.9519550240053,282.14,339.05476612190216,1
374705,PAYMENT,22.29,268.3,266.0987476884883,733.21,865.3532867905849,1
1856926,TRANSFER,7.55,445.32,412.0213524805537,1248.02,1204.285761506434,1
1658845,CASH_OUT,4.56,5428.48,5450.720213550615,5155.91,5114.46439908556,1
2026793,PAYMENT,19.17,3585.45,3650.324537861593,3161.66,3031.1346871161845,1
554594,TRANSFER,135.35,1514.26,1312.3529904863033,1000.45,1058.4268337589415,1
147718,PAYMENT,14.81,6717.64,6758.237711965271,31.83,0.0,1
645263,DEBIT,62.13,4111.11,3984.534171903833,1095.76,1113.2227951628115,1
2204664,PAYMENT,7.28,5152.89,5069.731275306605,5951.94,5932.532363898585,1
147443,PAYMENT,4.31,1555.82,1489.8340041523293,662.6,696.4990977245336,1
1519163,PAYMENT,34.63,1490.69,1454.0906817539412,2442.91,2503.114753049086,1
373616,PAYMENT,165.13,2167.06,2065.0795669031345,3168.38,3307.821155500072,1
686976,PAYMENT,25.81,66.81,0.0,4020.33,4046.9012716069856,1
1414447,PAYMENT,54.16,8692.06,8687.37700800743,5129.09,5115.361756919138,1
2472189,PAYMENT,120.8,1525.47,1397.0147718100725,619.15,711.6750485517781,1
117796,PURCHASE,19.22,3912.38,3838.0155880386383,645.3,599.91923334266,1
1241082,DEBIT,16.74,7107.18,7120.018801819505,6530.7,6510.448926608029,1
990198,PAYMENT,35.39,1290.25,1231.1184324264734,2988.75,3116.9241868912563,1
698376,PURCHASE,43.82,4839.19,4908.315142880246,1287.31,1338.396071139482,1
2366696,PAYMENT,3.75,3470.04,3491.2131055135264,2758.42,2732.4579343394294,1
2477154,TRANSFER,28.64,4034.98,4009.137711884635,410.0,462.53254254444784,1
698002,TRANSFER,20.07,757.71,770.050938318756,2253.06,2253.3874742714647,1
1588015,PAYMENT,7.79,1468.76,1528.1461679628983,2212.48,2304.4644852630354,1
1579159,PAYMENT,18.47,2929.46,2983.0314917217906,3585.43,3621.531632996068,1
907317,PAYMENT,4.96,1928.76,1970.2019296789922,962.33,909.2558574451145,1
2485367,PAYMENT,3.28,2966.6,3032.159977161804,2388.57,2457.8008362996325,1
321184,CASH_OUT,21.76,1398.87,1437.2732489483353,1416.47,1469.1945046361468,1
1847191,PAYMENT,59.29,2974.39,2960.5645536853067,6188.8,6271.453568999837,1
1471091,PAYMENT,13.24,4458.61,4425.654175525336,451.99,506.5534396348003,1
668234,PAYMENT,6.34,2517.66,2574.1818724555364,2637.24,2680.025311558041,1
378480,PAYMENT,7.64,6381.25,6352.178009265649,8443.4,8476.636521680073,1
2129863,TRANSFER,38.81,2763.48,2737.848492278246,197.31,228.04424447606692,1
791971,PAYMENT,148.54,4552.83,4385.482090512675,1737.41,1931.2717407045038,1
501157,DEBIT,50.63,1836.79,1819.859073699531,2738.36,2780.3802001961603,1
184423,PAYMENT,95.67,4047.75,4016.0581340480217,1367.48,1529.55879532668,1
1752290,PAYMENT,5.71,2933.93,2907.8767287919563,5681.78,5712.38866496327,1
912495,CASH_OUT,18.38,844.74,755.7734773654539,3262.35,3290.097829951919,1
1785954,PAYMENT,68.2,2790.1,2772.4269221832924,2752.09,2851.915936842517,1
133272,TRANSFER,3.75,1172.15,1220.1799533460803,407.95,419.60304187523445,1
767836,CASH_OUT,9.12,2082.49,2151.5932451431386,3795.45,3868.3141010485933,1
1126081,PAYMENT,62.2,7782.16,7764.6546217342275,3091.61,3201.2541356963047,0
2100021,PAYMENT,27.39,2035.44,2053.8985106390905,284.96,315.99569576192374,1
781474,PAYMENT,6.31,4129.11,4086.929032519928,2492.67,2336.045430079706,1
2551503,PAYMENT,2.84,1799.7,1833.7114486027842,1495.39,1541.3856701485902,1
1360828,PAYMENT,99.96,1710.85,1718.2313867419741,1767.52,1888.310706810579,1
618467,PAYMENT,1.71,934.8,905.4403920634448,4733.23,4856.2998080070165,1
1138848,PAYMENT,42.9,3104.37,3000.570874445052,3813.47,3791.4040467887726,1
2135619,TRANSFER,10.59,9606.44,9602.878123620532,1237.06,1236.7273728914279,1
877844,CASH_OUT,70.56,2263.59,2239.9019857837297,1510.56,1503.8038156341272,1
480047,TRANSFER,5.75,1198.98,1204.0555991591007,6174.6,6143.954283636387,1
1707923,PAYMENT,463.01,5420.42,5046.598550664661,1375.92,1916.8278205460551,1
1107447,PAYMENT,32.55,5068.41,4992.840943251221,2877.64,2826.959828753585,1
939903,DEBIT,39.67,3317.17,3201.721966584526,3723.62,3693.6687651789925,1
128391,TRANSFER,7.94,1074.89,1138.4000353595768,1610.5,1647.4383745971497,1
2536582,DEBIT,17.11,5433.28,5345.773014617142,1333.73,1360.5248375456592,1
1017026,PAYMENT,17.66,2362.79,2360.9860628906918,336.75,337.9466762786142,1
1659280,TRANSFER,173.34,4741.28,4638.031049286936,4769.06,4814.099034114715,1
1905279,TRANSFER,32.48,457.89,436.22454529448265,4169.19,4264.981449444782,1
2353839,PAYMENT,38.57,239.87,166.40434168169122,9794.22,9821.03496152402,1
107450,PAYMENT,38.06,2290.64,2316.194518294475,1532.32,1519.3569053105496,1
2269042,TRANSFER,42.71,1705.62,1671.449174424446,2571.6,2630.3845358782105,1
2535893,PAYMENT,3.79,890.3,875.4663123434801,5249.68,5316.274477397179,1
2379126,PAYMENT,234.89,1838.62,1685.905365270224,230.49,452.06725458079086,1
1983509,CASH_OUT,7.01,2634.26,2608.442723287672,5728.14,5702.684695536208,1
116381,PURCHASE,19.18,9307.98,9258.833129406383,2412.26,2433.21549973957,1
1521701,PAYMENT,126.19,173.08,1.7530101584365454,2866.74,3012.070345322224,1
1620197,PAYMENT,204.7,436.9,293.00207261541505,1714.68,1943.1842720996783,1
2231660,PAYMENT,52.83,2240.66,2209.2123157523806,49.11,89.64165568781021,1
1778226,CASH_OUT,10.96,1185.21,1149.876323863247,1279.42,1351.9113686883513,1
1911221,PAYMENT,23.41,495.0,399.64095450047193,4596.1,4575.617944638753,1
1199386,PURCHASE,24.54,7503.23,7549.126117164211,1275.83,1291.7318016940608,1
2014484,PAYMENT,25.61,3074.3,3025.051183869232,4498.23,4514.968622583846,1
2457184,PAYMENT,4.59,4958.25,4862.700613847863,1769.88,1697.4457417155083,1
1418175,TRANSFER,91.12,6720.78,6634.027311332094,1530.95,1640.221768684283,1
729903,DEBIT,23.61,2631.95,2659.9739039478522,770.14,798.4204997115592,1
2142866,PAYMENT,8.44,1336.26,1363.8265926609108,3955.06,3953.9627904702397,1
1515536,PAYMENT,11.04,2301.56,2294.5798542949838,1823.69,1860.0295932654446,1
1760427,PURCHASE,27.77,851.32,801.4602194122642,331.39,349.41295880004066,1
124123,PAYMENT,3.73,1512.51,1480.7483978978948,2330.2,2404.430187944749,1
936093,DEBIT,57.63,421.83,427.9987979417151,356.69,437.8489619568224,1
1131565,PAYMENT,26.62,6635.68,6511.4197090128,218.53,263.89255527076097,1
178274,CASH_OUT,131.48,5306.88,5127.941089999307,4456.62,4554.402905382572,1
2509079,TRANSFER,22.05,4956.63,4929.788490396025,1101.58,1029.224249064724,1
1931760,PAYMENT,5.46,1651.39,1546.214060039952,6836.49,6882.090813247643,1
131373,DEBIT,4.77,1099.1,1083.4324032135146,3338.16,3248.5081225935996,1
115294,PAYMENT,12.57,5984.0,5910.081861051566,414.45,413.6244499698451,1
2020320,PAYMENT,14.27,3006.08,3015.549626211512,586.07,644.3733674911451,1
648307,TRANSFER,10.17,4319.25,4280.4203043665875,1601.9,1568.7028330146782,1
2162878,PAYMENT,23.43,3857.74,3814.323602754458,3014.86,3015.2324307431045,0
141564,TRANSFER,9.86,2931.88,2889.8676648925366,641.54,581.6920795966281,1
1426388,PAYMENT,27.25,7998.85,8005.411129439414,4164.04,4145.192589017445,1
2067359,PAYMENT,10.75,27.82,13.624429086792695,2628.59,2599.578217387454,1
2365398,PAYMENT,42.86,1073.21,1077.6526785065728,1260.35,1280.0926520509356,1
